"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm3",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 22:30:35 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
18-09 22:31:30,81.098,10.772,7.927,0.0,0.0,0.203,0.0,1048576.0,8393.0,37123.0,0.0,0.0,3365.0,5126.0
18-09 22:31:31,94.990,5.010,0.0,0.0,0.0,0.0,0.0,1351680.0,540.0,1116.0,0.0,0.0,2339.0,3245.0
18-09 22:31:32,93.186,5.812,1.002,0.0,0.0,0.0,32768.0,1048576.0,1733.0,2872.0,0.0,0.0,2340.0,3676.0
18-09 22:31:33,92.771,5.020,2.209,0.0,0.0,0.0,28672.0,1048576.0,1455.0,3127.0,0.0,0.0,2361.0,3552.0
18-09 22:31:34,87.298,4.637,7.863,0.202,0.0,0.0,28672.0,1048576.0,1423.0,2742.0,0.0,0.0,2466.0,3439.0
18-09 22:31:35,73.441,4.628,15.694,6.036,0.0,0.201,10481664.0,1048576.0,26437.0,14042.0,0.0,0.0,2732.0,4849.0
18-09 22:31:36,78.182,5.657,8.687,7.071,0.0,0.404,32530432.0,1159168.0,1455.0,3127.0,0.0,0.0,2411.0,3359.0
18-09 22:31:37,91.0,4.800,3.800,0.200,0.0,0.200,12288.0,1048576.0,5861.0,10528.0,0.0,0.0,2624.0,4259.0
18-09 22:31:38,95.992,4.008,0.0,0.0,0.0,0.0,8388608.0,1048576.0,9847.0,9228.0,0.0,0.0,2514.0,4300.0
18-09 22:31:39,92.800,6.0,0.800,0.200,0.0,0.200,31506432.0,1089536.0,4265.0,4763.0,0.0,0.0,2817.0,6165.0
18-09 22:31:40,73.200,7.400,8.200,11.0,0.0,0.200,76132352.0,1048576.0,3635.0,3324.0,0.0,0.0,3658.0,7923.0
18-09 22:31:41,49.899,4.665,25.355,19.270,0.0,0.811,70115328.0,1130496.0,1415.0,4587.0,0.0,0.0,2709.0,6070.0
18-09 22:31:42,39.235,5.433,17.907,37.223,0.0,0.201,76255232.0,1048576.0,1455.0,5430.0,0.0,0.0,2616.0,6295.0
18-09 22:31:43,45.657,5.051,19.192,29.495,0.0,0.606,87154688.0,1048576.0,8187.0,6191.0,0.0,0.0,2860.0,7071.0
18-09 22:31:44,40.121,6.048,26.613,27.016,0.0,0.202,74231808.0,1150976.0,1349.0,4908.0,0.0,0.0,2589.0,6662.0
18-09 22:31:45,50.602,6.225,21.084,21.486,0.0,0.602,83333120.0,917504.0,1455.0,5433.0,0.0,0.0,2985.0,7510.0
18-09 22:31:46,32.252,4.260,35.091,27.992,0.0,0.406,70782976.0,90112.0,11304.0,2854.0,0.0,0.0,2520.0,6312.0
18-09 22:31:47,45.621,7.943,21.385,24.847,0.0,0.204,86728704.0,0.0,8401.0,6447.0,0.0,0.0,3123.0,7482.0
18-09 22:31:48,44.242,6.465,23.030,25.657,0.0,0.606,91877376.0,0.0,2337.0,5729.0,0.0,0.0,2948.0,7027.0
18-09 22:31:49,38.990,4.848,21.616,34.141,0.0,0.404,85925888.0,0.0,9306.0,5766.0,0.0,0.0,2846.0,6839.0
18-09 22:31:50,20.968,3.629,30.444,44.556,0.0,0.403,31604736.0,24313856.0,5383.0,5297.0,0.0,0.0,1999.0,5140.0
18-09 22:31:51,33.602,3.823,19.718,42.455,0.0,0.402,69087232.0,344064.0,1455.0,5476.0,0.0,0.0,2321.0,5623.0
18-09 22:31:52,41.650,5.030,25.352,26.962,0.0,1.006,88788992.0,0.0,9285.0,5766.0,0.0,0.0,2909.0,7226.0
18-09 22:31:53,42.084,4.810,22.445,30.261,0.0,0.401,89427968.0,0.0,5338.0,5297.0,0.0,0.0,2767.0,6916.0
18-09 22:31:54,40.974,5.680,33.874,19.067,0.0,0.406,69632000.0,0.0,3330.0,11067.0,0.0,0.0,3099.0,7478.0
18-09 22:31:55,17.241,3.245,79.108,0.406,0.0,0.0,290816.0,118784.0,12223.0,13802.0,0.0,0.0,2940.0,5449.0
18-09 22:31:56,31.526,3.414,64.659,0.402,0.0,0.0,0.0,303104.0,10926.0,9712.0,0.0,0.0,2257.0,3851.0
18-09 22:31:57,48.583,4.656,46.761,0.0,0.0,0.0,0.0,0.0,14118.0,21093.0,0.0,0.0,2905.0,4209.0
18-09 22:31:58,90.744,4.628,4.427,0.0,0.0,0.201,0.0,0.0,12630.0,12393.0,0.0,0.0,2685.0,3979.0
18-09 22:31:59,94.600,4.400,1.0,0.0,0.0,0.0,0.0,0.0,7724.0,8351.0,0.0,0.0,2641.0,3665.0
18-09 22:32:00,92.972,4.217,2.610,0.0,0.0,0.201,10620928.0,249856.0,14045.0,17645.0,0.0,0.0,2644.0,3756.0
18-09 22:32:01,93.600,3.800,2.600,0.0,0.0,0.0,0.0,237568.0,17734.0,10889.0,0.0,0.0,2600.0,4905.0
18-09 22:32:02,93.360,4.628,1.811,0.0,0.0,0.201,2097152.0,1048576.0,14792.0,12472.0,0.0,0.0,2451.0,4372.0
18-09 22:32:03,90.141,5.030,4.225,0.604,0.0,0.0,21647360.0,1048576.0,643959.0,19891.0,0.0,0.0,2903.0,5168.0
18-09 22:32:04,89.379,5.812,4.208,0.200,0.0,0.401,48873472.0,1048576.0,566938.0,14661.0,0.0,0.0,3419.0,5915.0
18-09 22:32:05,94.411,4.790,0.200,0.0,0.0,0.599,40108032.0,2191360.0,3900799.0,16284.0,0.0,0.0,4005.0,5448.0
18-09 22:32:06,93.186,5.010,0.601,0.0,0.0,1.202,49033216.0,1159168.0,24171606.0,94182.0,0.0,0.0,11162.0,5992.0
18-09 22:32:07,81.452,9.274,3.427,2.823,0.0,3.024,63037440.0,1048576.0,52380450.0,190247.0,0.0,0.0,20558.0,9196.0
18-09 22:32:08,81.038,8.383,2.196,3.593,0.0,4.790,83648512.0,1048576.0,73377049.0,17924114.0,0.0,0.0,30173.0,9737.0
18-09 22:32:09,70.101,10.101,9.293,6.667,0.0,3.838,84430848.0,1048576.0,65244178.0,276847.0,0.0,0.0,24503.0,9718.0
18-09 22:32:10,55.894,7.927,22.561,9.756,0.0,3.862,47759360.0,5824512.0,82401583.0,19541850.0,0.0,0.0,27235.0,8576.0
18-09 22:32:11,35.497,5.882,29.209,26.775,0.0,2.637,20025344.0,54996992.0,54435549.0,8847037.0,0.0,0.0,13157.0,5691.0
18-09 22:32:12,42.485,6.613,24.649,21.844,0.0,4.409,19546112.0,50536448.0,83515891.0,5078184.0,0.0,0.0,25513.0,6800.0
18-09 22:32:13,38.477,4.609,26.253,27.455,0.0,3.206,16404480.0,48324608.0,66009130.0,8319083.0,0.0,0.0,22375.0,6388.0
18-09 22:32:14,31.400,4.400,33.800,27.600,0.0,2.800,20541440.0,44720128.0,49876674.0,8565101.0,0.0,0.0,18358.0,5776.0
18-09 22:32:15,27.677,3.232,51.717,14.545,0.0,2.828,16556032.0,80244736.0,48620837.0,9682866.0,0.0,0.0,15282.0,5460.0
18-09 22:32:16,37.751,6.024,36.145,18.072,0.0,2.008,67084288.0,5681152.0,24409477.0,31123901.0,0.0,0.0,10028.0,7114.0
18-09 22:32:17,27.733,3.239,55.263,11.336,0.0,2.429,85594112.0,0.0,9473999.0,32130759.0,0.0,0.0,6062.0,6873.0
18-09 22:32:18,24.494,3.644,66.194,3.441,0.0,2.227,63754240.0,32768.0,3733511.0,32157186.0,0.0,0.0,5421.0,7373.0
18-09 22:32:19,8.065,2.218,89.516,0.0,0.0,0.202,0.0,65536.0,10439.0,12519.0,0.0,0.0,1963.0,4203.0
18-09 22:32:20,2.590,0.797,96.614,0.0,0.0,0.0,0.0,245760.0,4961.0,7610.0,0.0,0.0,1077.0,2581.0
18-09 22:32:21,1.996,0.998,96.806,0.200,0.0,0.0,0.0,102400.0,1674.0,6467.0,0.0,0.0,1124.0,2626.0
18-09 22:32:22,2.419,0.605,95.565,1.411,0.0,0.0,0.0,8192.0,2442.0,5588.0,0.0,0.0,1142.0,2613.0
18-09 22:32:23,4.444,1.414,94.141,0.0,0.0,0.0,32768.0,0.0,11048.0,19849.0,0.0,0.0,2026.0,4159.0
18-09 22:32:24,2.621,0.605,96.573,0.202,0.0,0.0,8192.0,0.0,2252.0,10608.0,0.0,0.0,1599.0,3327.0
18-09 22:32:25,2.209,0.402,97.390,0.0,0.0,0.0,0.0,380928.0,106.0,988.0,0.0,0.0,1107.0,2576.0
18-09 22:32:26,1.804,0.601,97.595,0.0,0.0,0.0,0.0,0.0,106.0,344.0,0.0,0.0,1084.0,2562.0
18-09 22:32:27,1.804,0.401,95.591,2.204,0.0,0.0,0.0,73728.0,212.0,870.0,0.0,0.0,1118.0,2617.0
18-09 22:32:28,2.004,0.802,97.194,0.0,0.0,0.0,0.0,0.0,106.0,344.0,0.0,0.0,1123.0,2624.0
18-09 22:32:29,4.400,1.400,94.0,0.200,0.0,0.0,364544.0,0.0,304.0,674.0,0.0,0.0,1366.0,2986.0
18-09 22:32:30,9.381,0.998,89.022,0.399,0.0,0.200,258048.0,716800.0,3716.0,5380.0,0.0,0.0,1816.0,3640.0
18-09 22:32:31,3.421,0.201,96.378,0.0,0.0,0.0,0.0,0.0,106.0,308.0,0.0,0.0,1286.0,2545.0
18-09 22:32:32,2.204,0.200,97.595,0.0,0.0,0.0,0.0,0.0,107.0,308.0,0.0,0.0,1173.0,2467.0
18-09 22:32:33,1.811,0.402,96.781,1.006,0.0,0.0,0.0,208896.0,213.0,835.0,0.0,0.0,1187.0,2525.0
18-09 22:32:34,2.400,1.0,96.600,0.0,0.0,0.0,0.0,0.0,9119.0,9849.0,0.0,0.0,1293.0,2710.0
18-09 22:32:35,1.610,0.604,97.787,0.0,0.0,0.0,0.0,8986624.0,107.0,309.0,0.0,0.0,1175.0,2560.0
18-09 22:32:36,2.008,1.004,96.988,0.0,0.0,0.0,0.0,69951488.0,213.0,835.0,0.0,0.0,1202.0,2608.0
18-09 22:32:37,2.227,2.632,92.308,0.0,0.0,2.834,0.0,78622720.0,21920747.0,21128910.0,0.0,0.0,7271.0,3388.0
18-09 22:32:38,2.200,1.200,96.600,0.0,0.0,0.0,0.0,90341376.0,107.0,309.0,0.0,0.0,1214.0,2640.0
18-09 22:32:39,2.004,0.401,87.575,10.020,0.0,0.0,0.0,47108096.0,213.0,835.0,0.0,0.0,1188.0,2592.0
18-09 22:32:40,2.823,0.605,96.573,0.0,0.0,0.0,0.0,0.0,13640.0,2067.0,0.0,0.0,1259.0,2784.0
18-09 22:32:41,2.400,0.600,97.0,0.0,0.0,0.0,0.0,0.0,107.0,309.0,0.0,0.0,1211.0,2676.0
18-09 22:32:42,1.408,0.805,97.787,0.0,0.0,0.0,0.0,0.0,213.0,835.0,0.0,0.0,1241.0,2749.0
18-09 22:32:43,18.571,6.531,74.898,0.0,0.0,0.0,0.0,0.0,229844.0,16261.0,0.0,0.0,3188.0,5362.0
18-09 22:32:44,70.040,8.097,20.445,1.417,0.0,0.0,0.0,364544.0,107.0,419.0,0.0,0.0,2802.0,3873.0
18-09 22:32:45,93.561,5.231,1.207,0.0,0.0,0.0,0.0,0.0,690.0,1179.0,0.0,0.0,2556.0,3243.0
18-09 22:32:46,85.657,5.253,9.091,0.0,0.0,0.0,0.0,0.0,3200.0,4193.0,0.0,0.0,2421.0,3258.0
18-09 22:32:47,71.862,3.644,24.291,0.0,0.0,0.202,0.0,0.0,7268.0,3551.0,0.0,0.0,2167.0,3009.0
18-09 22:32:48,72.065,4.251,23.684,0.0,0.0,0.0,0.0,0.0,509632.0,18231.0,0.0,0.0,2450.0,3472.0
18-09 22:32:49,78.068,4.024,17.103,0.604,0.0,0.201,0.0,139264.0,1259886.0,3785.0,0.0,0.0,2633.0,3246.0
18-09 22:32:50,77.328,5.466,15.385,0.0,0.0,1.822,0.0,0.0,29610982.0,60530.0,0.0,0.0,16223.0,6006.0
18-09 22:32:51,65.859,3.636,28.687,0.202,0.0,1.616,2580480.0,0.0,45127476.0,91439.0,0.0,0.0,25287.0,5327.0
18-09 22:32:52,69.777,4.462,25.558,0.0,0.0,0.203,41426944.0,0.0,6209053.0,21650.0,0.0,0.0,6074.0,5903.0
18-09 22:32:53,46.976,6.250,46.573,0.0,0.0,0.202,0.0,32768.0,6020.0,10170.0,0.0,0.0,3053.0,5690.0
18-09 22:32:54,53.427,4.234,36.895,5.040,0.0,0.403,0.0,872448.0,1783.0,2389.0,0.0,0.0,3467.0,5954.0
18-09 22:32:55,40.161,3.614,55.622,0.0,0.0,0.602,0.0,0.0,1677.0,1863.0,0.0,0.0,3086.0,5796.0
18-09 22:32:56,49.091,3.636,47.071,0.0,0.0,0.202,0.0,32768.0,3904.0,10036.0,0.0,0.0,2767.0,4896.0
18-09 22:32:57,17.871,2.209,79.920,0.0,0.0,0.0,0.0,32768.0,2342.0,6461.0,0.0,0.0,2120.0,3692.0
18-09 22:32:58,1.205,0.402,98.394,0.0,0.0,0.0,0.0,0.0,107.0,659.0,0.0,0.0,830.0,2113.0
18-09 22:32:59,1.603,0.601,95.792,2.004,0.0,0.0,0.0,167936.0,126.0,659.0,0.0,0.0,991.0,2249.0
18-09 22:33:00,1.603,0.601,97.796,0.0,0.0,0.0,0.0,0.0,232.0,1011.0,0.0,0.0,1018.0,2252.0
18-09 22:33:01,1.793,0.797,97.410,0.0,0.0,0.0,0.0,0.0,107.0,309.0,0.0,0.0,1029.0,2248.0
18-09 22:33:02,2.204,0.601,97.194,0.0,0.0,0.0,0.0,0.0,2422.0,1426.0,0.0,0.0,1095.0,2394.0
18-09 22:33:03,2.200,0.200,97.600,0.0,0.0,0.0,0.0,0.0,213.0,835.0,0.0,0.0,1051.0,2402.0
18-09 22:33:04,1.807,0.402,96.586,1.205,0.0,0.0,0.0,733184.0,7757.0,5972.0,0.0,0.0,1086.0,2433.0
18-09 22:33:05,1.411,0.403,98.185,0.0,0.0,0.0,0.0,0.0,107.0,309.0,0.0,0.0,1040.0,2398.0
18-09 22:33:06,2.004,0.601,97.395,0.0,0.0,0.0,0.0,0.0,322.0,835.0,0.0,0.0,1104.0,2503.0
18-09 22:33:07,4.810,3.206,89.980,0.0,0.0,2.004,0.0,65536.0,21951695.0,20978122.0,0.0,0.0,5038.0,3939.0
18-09 22:33:08,1.600,0.800,97.600,0.0,0.0,0.0,0.0,0.0,107.0,309.0,0.0,0.0,1061.0,2502.0
18-09 22:33:09,1.406,0.803,97.791,0.0,0.0,0.0,0.0,0.0,213.0,835.0,0.0,0.0,1075.0,2532.0
18-09 22:33:10,2.004,0.401,95.992,1.603,0.0,0.0,0.0,106496.0,107.0,309.0,0.0,0.0,1084.0,2560.0
18-09 22:33:11,1.411,0.403,98.185,0.0,0.0,0.0,0.0,0.0,107.0,309.0,0.0,0.0,1068.0,2525.0
18-09 22:33:12,1.606,0.402,97.992,0.0,0.0,0.0,0.0,0.0,213.0,835.0,0.0,0.0,1058.0,2438.0
18-09 22:33:13,1.800,0.600,97.600,0.0,0.0,0.0,0.0,0.0,107.0,309.0,0.0,0.0,1109.0,2521.0
18-09 22:33:14,2.209,0.602,96.988,0.0,0.0,0.201,0.0,21241856.0,9853.0,441377.0,0.0,0.0,1213.0,2593.0
18-09 22:33:15,1.807,0.803,97.390,0.0,0.0,0.0,0.0,0.0,3447.0,387930.0,0.0,0.0,1264.0,2635.0
18-09 22:33:16,1.616,0.606,96.970,0.808,0.0,0.0,0.0,90112.0,18890.0,2736342.0,0.0,0.0,1755.0,2951.0
18-09 22:33:17,1.215,0.405,98.381,0.0,0.0,0.0,0.0,0.0,371.0,639.0,0.0,0.0,1176.0,2573.0
18-09 22:33:18,1.207,1.006,97.787,0.0,0.0,0.0,0.0,0.0,213.0,835.0,0.0,0.0,1177.0,2594.0
18-09 22:33:19,2.200,0.600,97.200,0.0,0.0,0.0,0.0,860160.0,107.0,309.0,0.0,0.0,1154.0,2515.0
18-09 22:33:20,15.524,4.032,80.242,0.0,0.0,0.202,0.0,0.0,221417.0,13826.0,0.0,0.0,2460.0,4342.0
18-09 22:33:21,37.675,1.804,60.321,0.200,0.0,0.0,0.0,217088.0,372.0,937.0,0.0,0.0,1891.0,2607.0
18-09 22:33:22,39.479,2.204,58.317,0.0,0.0,0.0,0.0,0.0,1201.0,1615.0,0.0,0.0,1726.0,2612.0
18-09 22:33:23,18.200,1.800,80.0,0.0,0.0,0.0,294912.0,0.0,605.0,1023.0,0.0,0.0,1314.0,2442.0
18-09 22:33:24,27.054,2.004,70.140,0.200,0.0,0.601,24576.0,614400.0,8619038.0,178362.0,0.0,0.0,1808.0,2574.0
18-09 22:33:25,47.189,1.004,51.807,0.0,0.0,0.0,0.0,0.0,878.0,1893.0,0.0,0.0,2251.0,2952.0
18-09 22:33:26,11.469,1.408,85.513,1.610,0.0,0.0,0.0,176128.0,2171.0,4629.0,0.0,0.0,1414.0,3053.0
18-09 22:33:27,2.200,0.400,97.400,0.0,0.0,0.0,0.0,0.0,213.0,987.0,0.0,0.0,943.0,2025.0
18-09 22:33:28,1.613,0.202,97.984,0.0,0.0,0.202,0.0,0.0,761.0,831.0,0.0,0.0,1023.0,2073.0
18-09 22:33:29,7.505,3.651,88.235,0.0,0.0,0.609,0.0,2854912.0,21986308.0,75485.0,0.0,0.0,7090.0,3922.0
18-09 22:33:30,27.419,2.823,69.556,0.0,0.0,0.202,0.0,0.0,345.0,1311.0,0.0,0.0,1899.0,2892.0
18-09 22:33:31,43.750,1.815,53.226,1.210,0.0,0.0,0.0,270336.0,11959.0,12732.0,0.0,0.0,1871.0,2549.0
18-09 22:33:32,27.912,1.205,70.884,0.0,0.0,0.0,0.0,0.0,1595.0,3007.0,0.0,0.0,1450.0,2364.0
18-09 22:33:33,31.200,2.200,66.200,0.400,0.0,0.0,114688.0,0.0,3650.0,5190.0,0.0,0.0,1808.0,2811.0
18-09 22:33:34,42.222,3.838,53.131,0.0,0.0,0.808,0.0,118784.0,21819752.0,20947271.0,0.0,0.0,7713.0,5013.0
18-09 22:33:35,19.721,1.394,78.884,0.0,0.0,0.0,0.0,0.0,3141.0,5475.0,0.0,0.0,1500.0,2653.0
18-09 22:33:36,6.667,1.010,92.323,0.0,0.0,0.0,0.0,0.0,3079.0,4643.0,0.0,0.0,1271.0,2656.0
18-09 22:33:37,4.418,0.402,93.574,1.606,0.0,0.0,0.0,184320.0,2131.0,6019.0,0.0,0.0,1226.0,2536.0
18-09 22:33:38,3.407,0.601,95.992,0.0,0.0,0.0,0.0,0.0,1287.0,2453.0,0.0,0.0,1178.0,2367.0
18-09 22:33:39,3.785,0.598,95.618,0.0,0.0,0.0,0.0,159744.0,2909.0,4338.0,0.0,0.0,1259.0,2508.0
18-09 22:33:40,3.175,0.397,96.230,0.0,0.0,0.198,0.0,0.0,1287.0,2453.0,0.0,0.0,1179.0,2500.0
18-09 22:33:41,2.414,0.805,96.781,0.0,0.0,0.0,0.0,0.0,11627.0,430975.0,0.0,0.0,1226.0,2608.0
18-09 22:33:42,2.610,0.402,95.382,1.406,0.0,0.201,0.0,40960.0,7952.0,1273186.0,0.0,0.0,1486.0,2838.0
18-09 22:33:43,3.265,0.408,96.327,0.0,0.0,0.0,0.0,0.0,4227.0,7436.0,0.0,0.0,1438.0,3085.0
18-09 22:33:44,2.222,0.606,96.970,0.202,0.0,0.0,8192.0,45056.0,2829.0,7300.0,0.0,0.0,1255.0,2701.0
18-09 22:33:45,2.616,0.805,96.579,0.0,0.0,0.0,0.0,0.0,1928.0,5482.0,0.0,0.0,1242.0,2722.0
